"value","unit","charge_id","timestamp"
"32500","Wh","21977","2024-06-07 12:04:23+00"
"32700","Wh","21977","2024-06-07 12:05:23+00"
"32900","Wh","21977","2024-06-07 12:06:23+00"
"33000","Wh","21977","2024-06-07 12:07:23+00"
"33200","Wh","23815","2024-07-03 12:12:07+00"
"33400","Wh","23815","2024-07-03 12:13:07+00"
"33600","Wh","23815","2024-07-03 12:14:07+00"
"33700","Wh","23820","2024-07-03 12:42:54+00"
"33900","Wh","23820","2024-07-03 12:43:54+00"
"34100","Wh","23820","2024-07-03 12:44:54+00"
"34300","Wh","23820","2024-07-03 12:45:54+00"
"34400","Wh","24441","2024-07-11 08:24:51+00"
"34600","Wh","24441","2024-07-11 08:25:52+00"
"34800","Wh","24441","2024-07-11 08:26:51+00"
"35000","Wh","24441","2024-07-11 08:27:52+00"
"35100","Wh","24441","2024-07-11 08:28:53+00"
"35300","Wh","24441","2024-07-11 08:29:53+00"
"35500","Wh","24441","2024-07-11 08:30:53+00"
"35700","Wh","24441","2024-07-11 08:31:53+00"
"35800","Wh","24441","2024-07-11 08:32:53+00"
"36000","Wh","24441","2024-07-11 08:33:53+00"
"36200","Wh","24441","2024-07-11 08:34:52+00"
"36400","Wh","24441","2024-07-11 08:35:52+00"
"36500","Wh","24441","2024-07-11 08:36:52+00"
"36600","Wh","24441","2024-07-11 08:37:52+00"
"36700","Wh","24441","2024-07-11 08:38:52+00"
"36800","Wh","24441","2024-07-11 08:39:52+00"
"36900","Wh","24441","2024-07-11 08:40:52+00"
"37000","Wh","24441","2024-07-11 08:41:52+00"
"37100","Wh","24441","2024-07-11 08:42:52+00"
"37200","Wh","24441","2024-07-11 08:43:52+00"
"37300","Wh","24441","2024-07-11 08:44:52+00"
"37400","Wh","24441","2024-07-11 08:45:52+00"
"37500","Wh","24441","2024-07-11 08:46:52+00"
"37600","Wh","24441","2024-07-11 08:47:52+00"
"37700","Wh","24441","2024-07-11 08:48:52+00"
"37800","Wh","24441","2024-07-11 08:49:52+00"
"37900","Wh","24441","2024-07-11 08:50:52+00"
"38000","Wh","24441","2024-07-11 08:51:52+00"
"38200","Wh","24441","2024-07-11 08:52:52+00"
"38300","Wh","24441","2024-07-11 08:53:52+00"
"38400","Wh","24441","2024-07-11 08:54:53+00"
"38500","Wh","24441","2024-07-11 08:55:53+00"
"38600","Wh","24441","2024-07-11 08:56:53+00"
"38700","Wh","24441","2024-07-11 08:57:53+00"
"38800","Wh","24441","2024-07-11 08:58:53+00"
"38900","Wh","24441","2024-07-11 08:59:53+00"
"39000","Wh","24441","2024-07-11 09:00:53+00"
"39100","Wh","24441","2024-07-11 09:01:53+00"
"39200","Wh","24441","2024-07-11 09:02:53+00"
"39300","Wh","24441","2024-07-11 09:03:53+00"
"39400","Wh","24441","2024-07-11 09:04:53+00"
"39500","Wh","24441","2024-07-11 09:05:53+00"
"39600","Wh","24441","2024-07-11 09:06:53+00"
"39700","Wh","24441","2024-07-11 09:07:53+00"
"39800","Wh","24441","2024-07-11 09:08:53+00"
"39900","Wh","24441","2024-07-11 09:09:53+00"
"40000","Wh","24441","2024-07-11 09:10:53+00"
"40200","Wh","24441","2024-07-11 09:11:53+00"
"40300","Wh","24441","2024-07-11 09:12:53+00"
"40400","Wh","24441","2024-07-11 09:13:53+00"
"40500","Wh","24441","2024-07-11 09:14:53+00"
"40600","Wh","24441","2024-07-11 09:15:52+00"
"40700","Wh","24441","2024-07-11 09:16:52+00"
"40800","Wh","24441","2024-07-11 09:17:52+00"
"41000","Wh","24441","2024-07-11 09:18:52+00"
"41100","Wh","24441","2024-07-11 09:19:52+00"
"41200","Wh","24441","2024-07-11 09:20:52+00"
"41300","Wh","24441","2024-07-11 09:21:52+00"
"41400","Wh","24441","2024-07-11 09:22:52+00"
"41500","Wh","24441","2024-07-11 09:23:52+00"
"41600","Wh","24441","2024-07-11 09:24:52+00"
"41700","Wh","24441","2024-07-11 09:25:52+00"
"41900","Wh","24441","2024-07-11 09:26:52+00"
"42000","Wh","24441","2024-07-11 09:27:52+00"
"42100","Wh","24441","2024-07-11 09:28:52+00"
"42200","Wh","24441","2024-07-11 09:29:52+00"
"42300","Wh","24441","2024-07-11 09:30:52+00"
"42400","Wh","24441","2024-07-11 09:31:52+00"
"42500","Wh","24441","2024-07-11 09:32:52+00"
"42600","Wh","24441","2024-07-11 09:33:53+00"
"42800","Wh","24441","2024-07-11 09:34:52+00"
"42900","Wh","24441","2024-07-11 09:35:52+00"
"43000","Wh","24441","2024-07-11 09:36:53+00"
"43000","Wh","24441","2024-07-11 09:37:53+00"
"43100","Wh","24441","2024-07-11 09:38:53+00"
"43200","Wh","24441","2024-07-11 09:39:54+00"
"43300","Wh","24441","2024-07-11 09:40:54+00"
"43300","Wh","24441","2024-07-11 09:41:54+00"
"43400","Wh","24441","2024-07-11 09:42:54+00"
"43500","Wh","24441","2024-07-11 09:43:54+00"
"43600","Wh","24441","2024-07-11 09:44:54+00"
"43700","Wh","24441","2024-07-11 09:45:54+00"
"43800","Wh","24441","2024-07-11 09:46:54+00"
"43900","Wh","24441","2024-07-11 09:47:54+00"
"43900","Wh","24441","2024-07-11 09:48:54+00"
"44000","Wh","24441","2024-07-11 09:49:54+00"
"44100","Wh","24441","2024-07-11 09:50:54+00"
"44200","Wh","24441","2024-07-11 09:51:54+00"
